iter	Passed	Remaining
657	78755	40933
658	78905	40829
659	79046	40720
660	79168	40602
661	79286	40481
662	79394	40355
663	79504	40231
664	79595	40096
665	79696	39967
666	79774	39827
667	79905	39713
668	79993	39578
669	80074	39439
670	80197	39322
671	80297	39192
672	80385	39057
673	80515	38943
674	80588	38801
675	80651	38655
676	80723	38513
677	80855	38400
678	80991	38288
679	81101	38165
680	81182	38027
681	81244	37882
682	81324	37744
683	81467	37636
684	81550	37501
685	81642	37369
686	81736	37239
687	81829	37108
688	81950	36990
689	82096	36884
690	82211	36763
691	82305	36632
692	82390	36499
693	82464	36360
694	82577	36239
695	82694	36119
696	82774	35983
697	82880	35859
698	82956	35722
699	83038	35587
700	83121	35454
701	83224	35329
702	83358	35216
703	83464	35093
704	83557	34963
705	83641	34830
706	83748	34707
707	83878	34594
708	83956	34458
709	84056	34333
710	84161	34209
711	84288	34094
712	84367	33959
713	84440	33823
714	84565	33707
715	84706	33598
716	84775	33460
717	84867	33332
718	84985	33214
719	85155	33116
720	85247	32987
721	85324	32853
722	85446	32736
723	85534	32606
724	85628	32479
725	85737	32358
726	85830	32230
727	85934	32107
728	86017	31976
729	86178	31874
730	86326	31767
731	86419	31639
732	86525	31517
733	86640	31398
734	86730	31270
735	86835	31147
736	86917	31016
737	87016	30892
738	87127	30771
739	87249	30655
740	87402	30549
741	87488	30420
742	87572	30290
743	87674	30167
744	87779	30045
745	87927	29937
746	88027	29813
747	88152	29698
748	88286	29586
749	88400	29466
750	88577	29368
751	88691	29249
752	88811	29131
753	88920	29011
754	89019	28887
755	89157	28775
756	89268	28655
757	89352	28526
758	89442	28400
759	89628	28303
760	89725	28179
761	89790	28044
762	89872	27915
763	89978	27794
764	90114	27682
765	90268	27575
766	90459	27479
767	90582	27363
768	90715	27249
769	90819	27128
770	90910	27001
771	91095	26903
772	91215	26786
773	91312	26662
774	91390	26532
775	91547	26426
776	91634	26299
777	91772	26186
778	91898	26071
779	91977	25942
780	92085	25821
781	92195	25701
782	92377	25601
783	92559	25500
784	92673	25381
785	92762	25255
786	92887	25139
787	93000	25020
788	93111	24900
789	93215	24778
790	93315	24656
791	93448	24542
792	93586	24429
793	93667	24301
794	93765	24178
795	93915	24068
796	94057	23957
797	94127	23826
798	94298	23722
799	94422	23605
800	94596	23501
801	94732	23387
802	94826	23263
803	94946	23146
804	95075	23030
805	95175	22908
806	95266	22783
807	95354	22658
808	95467	22539
809	95637	22433
810	95774	22319
811	95944	22213
812	96121	22109
813	96234	21989
814	96333	21867
815	96498	21759
816	96592	21635
817	96777	21532
818	96862	21406
819	96983	21289
820	97090	21168
821	97221	21052
822	97347	20936
823	97469	20818
824	97552	20692
825	97666	20573
826	97772	20453
827	97881	20332
828	97986	20211
829	98062	20085
830	98142	19959
831	98224	19833
832	98324	19712
833	98541	19613
834	98643	19492
835	98774	19376
836	98890	19258
837	99074	19152
838	99199	19035
839	99350	18923
840	99488	18809
841	99551	18680
842	99712	18570
843	99867	18458
844	99994	18342
845	100113	18223
846	100267	18112
847	100387	17994
848	100542	17882
849	100655	17762
850	100765	17642
851	100894	17526
852	101052	17414
853	101133	17289
854	101180	17159
855	101348	17049
856	101490	16934
857	101613	16817
858	101733	16699
859	101811	16574
860	101887	16448
861	101954	16322
862	102044	16199
863	102196	16086
864	102343	15972
865	102440	15851
866	102530	15728
867	102691	15616
868	102823	15500
869	102949	15383
870	103075	15266
871	103200	15148
872	103313	15029
873	103465	14916
874	103590	14798
875	103676	14675
876	103820	14560
877	103924	14440
878	103994	14315
879	104131	14199
880	104224	14078
881	104391	13966
882	104552	13853
883	104641	13731
884	104706	13605
885	104817	13486
886	104934	13368
887	105024	13246
888	105103	13123
889	105263	13010
890	105386	12892
891	105554	12780
892	105717	12667
893	105851	12550
894	105974	12432
895	106053	12309
896	106164	12190
897	106288	12072
898	106461	11960
899	106539	11837
900	106640	11717
901	106752	11598
902	106870	11480
903	107002	11363
904	107099	11242
905	107160	11118
906	107264	10998
907	107363	10878
908	107493	10761
909	107628	10644
910	107747	10526
911	107865	10408
912	107992	10290
913	108102	10171
914	108190	10050
915	108283	9929
916	108355	9807
917	108500	9691
918	108656	9576
919	108759	9457
920	108911	9342
921	109024	9223
922	109226	9112
923	109388	8997
924	109534	8881
925	109688	8765
926	109806	8647
927	109903	8526
928	110076	8412
929	110207	8295
930	110335	8177
931	110494	8061
932	110621	7943
933	110728	7824
934	110896	7709
935	111032	7591
936	111194	7476
937	111304	7356
938	111443	7239
939	111515	7118
940	111621	6998
941	111744	6880
942	111899	6763
943	112018	6645
944	112128	6526
945	112249	6407
946	112382	6289
947	112474	6169
948	112627	6052
949	112711	5932
950	112888	5816
951	113043	5699
952	113099	5577
953	113269	5461
954	113387	5342
955	113557	5226
956	113676	5107
957	113828	4990
958	113999	4873
959	114231	4759
960	114351	4640
961	114570	4525
962	114676	4406
963	114767	4285
964	114866	4166
965	114947	4045
966	115054	3926
967	115199	3808
968	115365	3690
969	115516	3572
970	115672	3454
971	115810	3336
972	115931	3216
973	116018	3096
974	116128	2977
975	116239	2858
976	116341	2738
977	116479	2620
978	116583	2500
979	116719	2382
980	116822	2262
981	116957	2143
982	117063	2024
983	117179	1905
984	117302	1786
985	117445	1667
986	117526	1547
987	117648	1428
988	117782	1310
989	117879	1190
990	117989	1071
991	118076	952
992	118225	833
993	118327	714
994	118431	595
995	118536	476
996	118676	357
997	118836	238
998	118962	119
999	119109	0
